migration,tables_created,grants_present,static_issues
20260727130656_80c3b9f7-d3d9-4e42-9ca1-58637654ae4b.sql,dsx_connections;dsx_asset_mappings;dsx_events;dsx_events_quarantine;dsx_gateway_heartbeats;dsx_ingestion_audit,dsx_ingestion_audit;dsx_events_quarantine;dsx_events;dsx_gateway_heartbeats;FUNCTION;dsx_current_state;dsx_asset_mappings;dsx_connections,none
20260727130809_39726fbf-8483-4113-9ae4-f1c4fe590b28.sql,none,dsx_current_state;FUNCTION,none
20260727130904_e616a2e8-0b8f-489b-b991-65691db131a9.sql,none,dsx_ingestion_audit;dsx_events_quarantine;dsx_events;dsx_gateway_heartbeats;dsx_asset_mappings;dsx_connections,none
20260727131025_7eca23fe-318b-4668-b875-e64af0370c27.sql,none,FUNCTION,none
20260731185028_01b5764d-1ffd-480a-a835-acc0b51997fd.sql,none,none,none
20260804032041_0eb02d7f-aa2b-45e4-80c6-e3077b83805e.sql,none,FUNCTION,permissive_true_policy
20260804032127_4ab5dcd5-f35d-41b7-886f-075bc690c477.sql,none,none,none
20260805201525_6f5508ef-c912-4e58-9b9e-bb2f0ba54f48.sql,none,none,none
20260805201743_3d0c9661-de85-407b-b692-0a677304da70.sql,none,none,none
20260805205227_03768dd2-2daa-4482-bbea-618ccf42cc7a.sql,none,none,none
20260805205309_2b57e794-9a67-4c9a-8e8c-3035efd8a47c.sql,none,none,none
20260807142936_074153c1-7999-4bdf-8b36-4c150ab8ed65.sql,none,none,none
20260807143113_418ecd74-0115-4c03-bf35-59f8c6cc205e.sql,none,none,none
20260807143223_e55462eb-82b3-402e-b7f5-c66f63edbe65.sql,none,user_roles;FUNCTION,none
20260807143324_ef7c5f4c-3b03-4e99-8793-e55129cd5f0c.sql,none,FUNCTION,none
20260807143519_f68fa375-b6a6-4786-ade1-c2c104d136ce.sql,none,onboarding_submissions;SCHEMA;dc_blueprint_templates;sites;agent_definitions,permissive_true_policy
