file,signal,occurrences,classification
src/dsx/__tests__/evidenceBoundary.test.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/__tests__/exchangeViewerSimready.test.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/__tests__/investigationContext.test.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/__tests__/metricDrilldown.test.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/__tests__/operatorWorkspaces.test.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/adapters/index.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/adapters/ingestPipeline.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/adapters/liveDisabledAdapter.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/adapters/replayAdapter.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/adapters/simulatedAdapter.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/adapters/types.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/exchange/dsxExchangeAdapter.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/fixtures/determinism.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/fixtures/determinism.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/dsx/fixtures/evidenceBetaFacility.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/fixtures/timelines.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/metrics/computeKpis.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/runtime/EvidenceBetaContext.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/runtime/useEvidenceBeta.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/runtime/useRunSeries.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/scenario/degradationEngine.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/simready/onboarding.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/viewer/viewerBoundary.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/workspaces/constraints.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/dsx/workspaces/facilityGraph.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/hooks/useAgentData.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/hooks/useAgentMetrics.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/hooks/useAgentRuns.ts,nondeterministic_random,3,LEGACY_SYNTHETIC
src/hooks/useAgentSimulations.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/hooks/useSyncJobFeed.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/lib/compliance/types.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/lib/copilot/contextBuilder.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/lib/copilot/dcDomainContext.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/lib/generators/mockSimulationData.ts,nondeterministic_random,23,LEGACY_SYNTHETIC
src/lib/jobQueue.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/lib/mock/transportCanadaMockData.ts,nondeterministic_random,4,LEGACY_SYNTHETIC
